Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-Jun-17,18.35,18.95,18.35,18.7,18.70473579,162275,356,3035311,71658,44.16,0.6,0.35
14-Jun-17,19.2,19.2,18.3,18.45,18.63412626,212546,418,3960609,92702,43.62,0.9,-0.75
13-Jun-17,18.8,19.05,18.8,18.85,18.90111515,87253,195,1649179,53425,61.23,0.25,0.05
12-Jun-17,19.05,19.1,18.85,18.95,18.96553521,88293,259,1674524,46963,53.19,0.25,-0.1
9-Jun-17,18.65,19.3,18.5,19.2,18.99502481,233157,636,4428823,104232,44.7,0.8,0.55
8-Jun-17,18.75,18.8,18.5,18.55,18.62111586,118527,226,2207105,62406,52.65,0.3,-0.2
7-Jun-17,18.95,18.95,18.55,18.7,18.73997687,112390,257,2106186,51700,46,0.4,-0.25
6-Jun-17,19.1,19.1,18.7,18.8,18.84996272,105967,307,1997474,46184,43.58,0.4,-0.3
5-Jun-17,19,19.15,18.8,18.95,18.99223936,123830,319,2351809,66693,53.86,0.35,-0.05
2-Jun-17,19.25,19.25,18.95,19.1,19.1345647,96370,301,1843998,41192,42.74,0.3,-0.15
1-Jun-17,19.15,19.25,18.9,19.05,19.07619545,132252,342,2522865,66556,50.33,0.35,-0.1
31-May-17,19.05,19.2,18.8,19,18.96969959,196697,441,3731283,77357,39.33,0.4,-0.05
30-May-17,18.6,19,18.5,18.95,18.70113424,174831,417,3269538,91743,52.48,0.5,0.35
29-May-17,19.5,19.5,18.55,18.8,18.88719916,199901,589,3775570,86867,43.46,0.95,-0.7
26-May-17,18.95,19.3,18.75,19.2,19.08475745,374209,923,7141688,209634,56.02,0.55,0.25
25-May-17,18.6,19.1,18.5,18.65,18.7767826,692007,1360,12993665,421837,60.96,0.6,0.05
24-May-17,19,19.65,18.2,18.5,18.73700196,560065,1526,10493939,230480,41.15,1.45,-0.5
23-May-17,20.65,20.75,18.5,18.9,19.0489372,759504,2058,14467744,321156,42.28,2.25,-1.75
22-May-17,21.65,21.75,20,20.75,20.88221448,234927,619,4905796,120101,51.12,1.75,-0.9
19-May-17,21.85,22,21.25,21.4,21.55220085,342868,709,7389560,190790,55.65,0.75,-0.45
18-May-17,22.4,22.6,21.7,21.8,22.11054059,260773,559,5765832,158676,60.85,0.9,-0.6
17-May-17,22.25,22.75,22.25,22.55,22.49828762,216074,423,4861295,103023,47.68,0.5,0.3
16-May-17,22.6,22.85,22.3,22.35,22.41808623,271035,525,6076086,126425,46.65,0.55,-0.25
