Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-June-2017,18.35,18.95,18.35,18.70,18.704735788014173470,162275,356,3035311.00,71658,44.16,0.60,0.35
14-June-2017,19.20,19.20,18.30,18.45,18.634126259727306089,212546,418,3960609.00,92702,43.62,0.90,-0.75
13-June-2017,18.80,19.05,18.80,18.85,18.901115147903223957,87253,195,1649179.00,53425,61.23,0.25,0.05
12-June-2017,19.05,19.10,18.85,18.95,18.965535206641523110,88293,259,1674524.00,46963,53.19,0.25,-0.10
9-June-2017,18.65,19.30,18.50,19.20,18.995024811607629194,233157,636,4428823.00,104232,44.70,0.80,0.55
8-June-2017,18.75,18.80,18.50,18.55,18.621115863895989943,118527,226,2207105.00,62406,52.65,0.30,-0.20
7-June-2017,18.95,18.95,18.55,18.70,18.739976866269241035,112390,257,2106186.00,51700,46.00,0.40,-0.25
6-June-2017,19.10,19.10,18.70,18.80,18.849962724244340219,105967,307,1997474.00,46184,43.58,0.40,-0.30
5-June-2017,19.00,19.15,18.80,18.95,18.992239360413470079,123830,319,2351809.00,66693,53.86,0.35,-0.05
2-June-2017,19.25,19.25,18.95,19.10,19.134564698557642419,96370,301,1843998.00,41192,42.74,0.30,-0.15
1-June-2017,19.15,19.25,18.90,19.05,19.076195445059431993,132252,342,2522865.00,66556,50.33,0.35,-0.10
31-May-2017,19.05,19.20,18.80,19.00,18.969699588707504435,196697,441,3731283.00,77357,39.33,0.40,-0.05
30-May-2017,18.60,19.00,18.50,18.95,18.701134238207182936,174831,417,3269538.00,91743,52.48,0.50,0.35
29-May-2017,19.50,19.50,18.55,18.80,18.887199163585975057,199901,589,3775570.00,86867,43.46,0.95,-0.70
26-May-2017,18.95,19.30,18.75,19.20,19.084757448377778193,374209,923,7141688.00,209634,56.02,0.55,0.25
25-May-2017,18.60,19.10,18.50,18.65,18.776782604800240459,692007,1360,12993665.00,421837,60.96,0.60,0.05
24-May-2017,19.00,19.65,18.20,18.50,18.737001955130208100,560065,1526,10493939.00,230480,41.15,1.45,-0.50
23-May-2017,20.65,20.75,18.50,18.90,19.048937201120731424,759504,2058,14467744.00,321156,42.28,2.25,-1.75
22-May-2017,21.65,21.75,20.00,20.75,20.882214475134829117,234927,619,4905796.00,120101,51.12,1.75,-0.90
19-May-2017,21.85,22.00,21.25,21.40,21.552200846973179182,342868,709,7389560.00,190790,55.65,0.75,-0.45
18-May-2017,22.40,22.60,21.70,21.80,22.110540585106586954,260773,559,5765832.00,158676,60.85,0.90,-0.60
17-May-2017,22.25,22.75,22.25,22.55,22.498287623684478465,216074,423,4861295.00,103023,47.68,0.50,0.30
16-May-2017,22.60,22.85,22.30,22.35,22.418086225026288117,271035,525,6076086.00,126425,46.65,0.55,-0.25
15-May-2017,22.80,23.00,22.60,22.70,22.779426778923693828,135166,315,3079004.00,76801,56.82,0.40,-0.10
12-May-2017,22.95,23.00,22.55,22.70,22.741670274560738896,221736,316,5042647.00,106401,47.99,0.45,-0.25
11-May-2017,23.20,23.30,22.95,23.00,23.089847095571565318,158792,331,3666483.00,93163,58.67,0.35,-0.20
10-May-2017,22.85,23.30,22.85,23.15,23.112748306881574342,242895,509,5613971.00,132205,54.43,0.45,0.30
9-May-2017,22.50,23.30,22.40,22.80,22.838783544460863385,265953,511,6074043.00,117963,44.35,0.90,0.30
8-May-2017,22.85,22.95,22.40,22.45,22.596572448895065762,217298,382,4910190.00,109115,50.21,0.55,-0.40
5-May-2017,23.00,23.20,22.50,22.60,22.841547114801073620,319666,491,7301666.00,149575,46.79,0.70,-0.40
